sample_id	size	gc	md5	organism	taxid	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	primary_cluster_id	primary_dist	secondary_cluster_id	secondary_dist
cpe024_contig_2	61066	0.492401663773622	1cead86b69ac0674529f8a4a29dab83a	Enterobacteriaceae	543	IncI-gamma/K1	KC788405	MOBP	NC_019097	MPF_I	NC_019097_00056	MOBP	JN253636	conjugative	AA030	0.06	AA125	0.025
cpe024_contig_3	168822	0.5143820118231036	e119adeab5315766a20ea9044f492b7c	Enterobacteriaceae	543	IncFIA,IncFIB,IncFII,IncFII	000136__AP014877_00014,000096__NC_019117_00097,KF954760,AJ851089	MOBF,MOBP	NC_017627_00068,NC_021819_00066	MPF_F	NC_008460_00107,NC_010719_00097,NC_019094_00068,NC_008460_00097,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_019037_00043,NC_022651_00077,NC_013437_00116,08-5333_00200	MOBF	NZ_CM001473	conjugative	AA037	0.06	AA139	0.025
cpe024_contig_4	111937	0.460312497208251	2657d4a535c65620172c7dfbac5e8e3c	Enterobacteriaceae	543	rep_cluster_488	001852__AP017612_00001	-	-	-	-	-	-	non-mobilizable	AA054	0.06	AA162	0.025
cpe024_contig_5	60509	0.4203011122312383	f9413d0dbe716851dcea2d1301f6da07	Enterobacteriaceae	543	IncI2	KC845573	MOBP	NC_022520_00030	MPF_T	NC_019115_00018,NC_020270_00063,NC_019039_00052,NC_019039_00051,NC_020270_00058	-	-	conjugative	AA040	0.06	AA144	0.025
cpe024_contig_6	95088	0.4462392730943967	cbee8f1deafd5191047017ecbf7fb723	Enterobacteriaceae	543	-	-	-	-	-	-	-	-	non-mobilizable	AA066	0.06	AA177	0.025
cpe025_contig_2	118775	0.5081119764260156	f401b235ca0e2e9370a06809769a764a	Enterobacteriaceae	543	IncL/M	JN626286	MOBP	NC_004464_00056	MPF_I	NC_004464_00073,NC_005246_00069,NC_019154_00069,NC_004464_00068,NC_004464_00066,NC_019344_00078,NC_019063_00094,NC_005246_00057,NC_004464_00105	-	-	conjugative	AA064	0.06	AA173	0.025
cpe025_contig_3	186613	0.5344697314763709	947c6a8e259aecec5291203c5feaaa80	Enterobacteriaceae	543	IncFIB,IncFII	000101__NZ_CP012345_00042,AJ851089	MOBF	NC_021501_00073	MPF_F	NC_021501_00076,NC_006323_00113,NC_021501_00083,NC_021501_00084,NC_021501_00085,NC_006323_00105,NC_006323_00097,NC_006323_00096,NC_021501_00096,NC_021501_00097,NC_021501_00074,NC_009378_00101	-	-	conjugative	AA076	0.06	AA187	0.025
cpe025_contig_4	87398	0.4615666262385867	f7c54d563d49fed0281f99176c0dff7d	Enterobacteriaceae	543	-	-	-	-	MPF_F	NC_014108_00062,NC_014108_00068	-	-	non-mobilizable	AA078	0.06	AA189	0.025
cpe025_contig_6	56269	0.4102969663580302	a22b7ecb6f5a44dc551d9bd405b53296	Enterobacteriaceae	543	-	-	MOBF	CP045557_00143	-	-	-	-	mobilizable	AA074	0.06	AA185	0.025
cpe027_2	129937	0.5215758405996752	724e72fa58995f6e73171386b002646f	Enterobacteriaceae	543	IncFIB,IncFII,rep_cluster_2183	000097__NC_025166_00051,000129__CP018340,CP033468_00001	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_023905_00125,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	AA018	0.06	AA103	0.025
cpe027_3	115672	0.5009423196624939	61a4a8bf64a05f13e4fd3ae69d2315bf	Enterobacteriaceae	543	ColRNAI_rep_cluster_1987,IncFIA,IncFIB,IncFIC,IncFII	CP024554_00008,MK878891_00042,000095__NZ_CP014273_00094,AY458016,KF954760	MOBF	NC_017627_00068	MPF_F	NC_008460_00107,NC_010719_00097,NC_019094_00068,NC_018966_00040,NC_017639_00100,NC_007675_00027,NC_017639_00094,NC_019094_00090,NC_010409_00124,NC_019037_00043,NC_022651_00077,NC_019072_00073,NC_013437_00116	MOBP	AP014804	conjugative	AA034	0.06	AA133	0.025
cpe027_4	6141	0.5217391304347826	af94a581023e313fdd968a76a42ecd27	Enterobacteriaceae	543	rep_cluster_1195	000483__CP010949_00006	MOBP	NC_019160_00002	-	-	-	-	mobilizable	AA048	0.06	AA156	0.025
cpe028_contig_2	58762	0.5329804976004902	2dfd8858aa6fe0845bbc5e949814846e	Enterobacteriaceae	543	IncFIA,IncFIC	CP022610_00144,AP009242	MOBF	NC_022333_00006	MPF_F	NZ_AGTD01000004_00104,NC_021871_00015,NC_022333_00014,NC_021817_00021,NC_021817_00023,NZ_AGTD01000004_00096,NC_022333_00021,NZ_AGTD01000004_00091,NC_021871_00033,NC_007635_00031,NC_009790_00086,NC_021817_00013,NZ_AGTD01000004_00094	-	-	conjugative	AA036	0.06	AA136	0.025
cpe028_contig_3	136344	0.5163776917209412	70b6a087165a90f7136fa22ef4a9f4c0	Enterobacteriaceae	543	IncK2/Z	KJ484640	MOBP	CP034821_00094	-	-	-	-	mobilizable	AA032	0.06	AA129	0.025
cpe028_contig_4	63589	0.5122269574926481	c22797c26b8b1ec3e8d1394bee23b67b	Enterobacteriaceae	543	IncL/M	JN626286	MOBP	NC_004464_00056	MPF_I	NC_004464_00066,NC_004464_00068,NC_019154_00069,NC_005246_00069,NC_004464_00073,NC_004464_00105,NC_005246_00057,NC_019063_00094,NC_019344_00078	-	-	conjugative	AA064	0.06	AA173	0.025
cpe029_contig_2	86567	0.5095013111231763	35ca5cd85f8e17106dedaffbf3b91b6f	Enterobacteriaceae	543	IncR	000204__CP008701_00115	-	-	-	-	MOBF	NZ_CP013834	mobilizable	AA028	0.06	AA123	0.025
cpe029_contig_3	58700	0.5329131175468483	94aa610e839492845605a4a92d1c965a	Enterobacteriaceae	543	IncFIA,IncFIC	CP022610_00144,AP009242	MOBF	NC_022333_00006	MPF_F	NZ_AGTD01000004_00104,NC_009787_00008,NC_022333_00014,NC_021817_00021,NC_021817_00023,NZ_AGTD01000004_00096,NC_022333_00021,NZ_AGTD01000004_00091,NC_021871_00033,NC_007635_00031,NC_009790_00086,NC_021817_00013,NZ_AGTD01000004_00094	-	-	conjugative	AA036	0.06	AA136	0.025
cpe029_contig_4	228793	0.5209119160114164	716341790307923cec57d1e5ce5e201a	Enterobacteriaceae	543	IncFIB,IncFII,rep_cluster_2183	000107__CP014778_00094,000132__HG969996,CP017721_00179	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_011281_00082,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	AA024	0.06	AA115	0.025
cpe029_contig_5	63587	0.5122116155818013	3a83f50a8391d5ea79d9e9c3870cd078	Enterobacteriaceae	543	IncL/M	JN626286	MOBP	NC_004464_00056	MPF_I	NC_004464_00073,NC_005246_00069,NC_019154_00069,NC_004464_00068,NC_004464_00066,NC_019344_00078,NC_019063_00094,NC_005246_00057,NC_004464_00105	-	-	conjugative	AA064	0.06	AA173	0.025
cpe029_contig_6	8834	0.4503056373103917	5a7ff40413453eef98ec1071b92d6bf9	Enterobacteriaceae	543	ColRNAI_rep_cluster_1987	CP041116_00002	-	-	-	-	MOB_unknown	CP016722	mobilizable	AA009	0.06	AA093	0.025
cpe029_contig_8	10231	0.4319225882122959	980f21bfa147f73c1d75c2d8b5497582	Enterobacteriaceae	543	rep_cluster_2335	KU302809_00001	-	-	-	-	MOBP	KJ009324	mobilizable	AA010	0.06	AA094	0.025
cpe034_2	299487	0.466390861706852	2cb57450c7976a4012d0f90de0edf02c	Enterobacteriaceae	543	IncFIB,IncHI1B,rep_cluster_1254	CP024497_00001,JN420336,000562__KT346360_00001	MOBH	NC_016980_00239	MPF_F	NC_016980_00240,NC_018107_00101,NC_016980_00110,NC_016980_00109,NC_018107_00235,NC_023911_00309,NC_016980_00099	-	-	conjugative	AA042	0.06	AA146	0.025
cpe034_3	151684	0.5112206956567601	8c4f152c4c09148ccf82f9d02a565736	Enterobacteriaceae	543	IncFIB,IncFII,rep_cluster_2183	000107__CP014778_00094,000128__CP023916,CP017721_00179	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_023905_00125,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_021654_00004,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	AA024	0.06	AA116	0.025
cpe034_4	77385	0.5235639981908639	7353f66956cae6dad2fc0219c8cdb68b	Enterobacteriaceae	543	IncFII,rep_cluster_1418	CP000966,000759__NC_013950_00034	MOBF,MOBF	CP035180_00077,NC_021231_00058	MPF_F	NC_014312_00116,NC_014312_00118,NC_023332_00154,NC_019389_00068,NC_014312_00128,NC_022609_00081,NC_019389_00080,NC_021654_00016,NC_019165_00034,NC_019155_00032,NC_021502_00131,NC_021502_00150	-	-	conjugative	AA019	0.06	AA106	0.025
cpe035_contig_1	299567	0.4666969325726799	13392f4d36ee622054de2f8c1de24c41	Enterobacteriaceae	543	IncFIB,IncHI1B,rep_cluster_1254	CP024497_00001,JN420336,000562__KT346360_00001	MOBH	NC_016980_00239	MPF_F	NC_023911_00309,NC_018107_00235,NC_016980_00109,NC_016980_00110,NC_018107_00101,NC_016980_00240,NC_016980_00099	-	-	conjugative	AA042	0.06	AA146	0.025
cpe035_contig_3	154096	0.5119860346796802	959cd6c9134f02078b0c90e8ccfd0a3c	Enterobacteriaceae	543	IncFIB,IncFII,rep_cluster_2183	000107__CP014778_00094,000128__CP023916,CP017721_00179	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	AA024	0.06	AA116	0.025
cpe035_contig_9	77384	0.523687067093973	00e570a51c22436ff9628b519f35d048	Enterobacteriaceae	543	IncFII,rep_cluster_1418	MK649828_00114,000759__NC_013950_00034	MOBF,MOBF	NC_021231_00058,CP035180_00077	MPF_F	NC_019155_00032,NC_019165_00034,NC_021654_00016,NC_019389_00080,NC_022609_00081,NC_014312_00128,NC_019389_00068,NC_023332_00154,NC_014312_00118,NC_014312_00116,NC_021502_00150,NC_021502_00131	-	-	conjugative	AA019	0.06	AA106	0.025
cpe037_contig_2	44986	0.3734050593517983	e065d2de2552347314d4c801c57e4191	Enterobacteriaceae	543	-	-	MOBP,MOBQ	NZ_ALIG01000010_00048,NC_020818_00001	MPF_T	NC_019268_00026,NC_019268_00030,NC_019268_00036,NC_019268_00037,NC_019268_00038	-	-	conjugative	AA056	0.06	AA164	0.025
cpe037_contig_3	16018	0.3622175053065301	2fc78673d4eb4f4132ff1605008cc544	Enterobacteriaceae	543	rep_cluster_1364	000682__CU468232_00001	MOBQ	NC_006877_00013	-	-	-	-	mobilizable	AA073	0.06	AA184	0.025
cpe037_contig_4	14429	0.3299604962228845	d411c7660751a774009a4b33aea67980	Enterobacteriaceae	543	rep_cluster_1226	000523__LT594096_00001	MOBQ	CP014655_00011	-	-	-	-	mobilizable	AA071	0.06	AA182	0.025
cpe037_contig_5	12300	0.3689430894308943	9435048abc05df88206b82187106aaf3	Enterobacteriaceae	543	rep_cluster_1219	000513__CU468233_00001	MOBQ	CP028799_00003	-	-	-	-	mobilizable	AA072	0.06	AA183	0.025
cpe037_contig_6	97771	0.3760419756369476	a6ad0a8ba4c168f6896bc5edb2041087	Enterobacteriaceae	543	rep_cluster_639	002092__CU459140_00002	MOBP,MOBP	NZ_AEOY01000096_00007,NZ_CM001803_00063	-	-	-	-	mobilizable	AA068	0.06	AA179	0.025
cpe040_contig_2	7872	0.4785315040650406	61a49135190427289cd9fb7051904f2e	Enterobacteriaceae	543	Col156	CP001126_00001	MOBQ	NC_019783_00003	-	-	-	-	mobilizable	AA049	0.06	AA157	0.025
cpe040_contig_3	145402	0.5178745821928171	ceaae4c4ae7bb1cc26f98c6d4570badc	Enterobacteriaceae	543	IncFIA,IncFIB,IncFII	000136__AP014877_00014,000095__NZ_CP014273_00094,KF954760	MOBF	NC_017627_00068	MPF_F	NC_008460_00107,08-5333_00200	MOBF	NZ_CM001473	conjugative	AA037	0.06	AA140	0.025
