id	organism
NZ_CP097728.1	Escherichia coli
NZ_MN657046.1	Psychrobacter sp.
NZ_LC556222.1	Klebsiella pneumoniae
NZ_MH917281.1	Klebsiella pneumoniae
NZ_CP044472.1	Acinetobacter schindleri
NZ_CP044448.1	Acinetobacter indicus
NZ_CP031973.1	Acinetobacter haemolyticus
NC_019988.1	Klebsiella pneumoniae
NZ_CP083490.1	Escherichia coli
NZ_CP112899.1	Pasteurella multocida
NZ_CP072124.1	Acinetobacter baumannii
NZ_CP110860.1	Escherichia coli
NZ_CP042995.1	Acinetobacter nosocomialis
CP111087.1	Salmonella enterica
CP110726.1	Klebsiella pneumoniae
NZ_LC520278.1	Escherichia coli
NZ_CP022613.1	Klebsiella pneumoniae
NZ_CP021166.1	Klebsiella pneumoniae
NZ_CP027161.1	Klebsiella pneumoniae
NZ_CP015122.1	Acinetobacter baumannii
NZ_CP047812.1	Staphylococcus aureus
NZ_CP085700.1	Salmonella enterica
NZ_CP085467.1	Aeromonas veronii
NZ_CP036062.1	Bacillus mycoides
NZ_CP071862.1	Enterobacter cloacae
NZ_CP037824.1	Clostridioides difficile
NZ_MZ127841.1	Listeria monocytogenes
NZ_CP068613.1	Klebsiella pneumoniae
NZ_LR890385.1	Klebsiella pneumoniae
NZ_CP063854.1	Klebsiella pneumoniae
NZ_CP050337.1	Klebsiella pneumoniae
NZ_AP026955.1	Salmonella enterica
NZ_CP031997.1	Acinetobacter haemolyticus
NZ_CP034134.1	Klebsiella quasipneumoniae
NZ_CP030270.1	Klebsiella pneumoniae
NZ_CP026394.1	Klebsiella pneumoniae
NZ_CP021940.1	Klebsiella pneumoniae
CP110023.1	Enterococcus faecalis
NZ_CP029997.1	Salmonella enterica
NZ_CP077896.1	Staphylococcus aureus
NZ_CP031210.1	Levilactobacillus brevis
OX335189.1	Apilactobacillus kunkeei
OX335133.1	Apilactobacillus kunkeei
NC_010616.1	Staphylococcus aureus
NZ_OK623716.1	Klebsiella pneumoniae
NZ_CP049831.1	Aeromonas salmonicida
NZ_CP099586.1	Burkholderia glumae
NZ_CP093279.1	Raoultella sp. HC6
CP100035.1	Escherichia coli
NZ_CP032381.1	Salmonella enterica
NZ_CP033968.1	Cupriavidus pauculus
NZ_CP018876.1	Priestia megaterium
NZ_CP032088.1	Escherichia coli
NZ_AP022182.1	Escherichia coli
NZ_CP042889.1	Escherichia coli
NZ_KT988018.1	Escherichia coli
NZ_KR653209.1	Escherichia coli
NZ_AP019762.1	Escherichia coli
NZ_CP031654.1	Escherichia coli
OW959929.1	Klebsiella pneumoniae
OW967401.1	Klebsiella pneumoniae
OW967205.1	Klebsiella pneumoniae
NZ_CP023675.1	Escherichia coli
NZ_CP080074.1	Escherichia coli
OW848968.1	Klebsiella pneumoniae
OW849338.1	Klebsiella pneumoniae
OW849294.1	Klebsiella pneumoniae
OW849263.1	Klebsiella pneumoniae
OW849054.1	Klebsiella pneumoniae
NC_014749.1	Calditerrivibrio nitroreducens DSM 19672
NZ_CP074689.1	Bacillus velezensis
CP056628.1	Escherichia coli
CP056351.1	Citrobacter sp. RHBSTW-00678
CP056323.1	Citrobacter sp. RHBSTW-00821
CP057430.1	Escherichia coli
CP057117.1	Escherichia coli
CP056988.1	Escherichia coli
MZ690486.1	Klebsiella pneumoniae
CP063544.1	Enterococcus faecium
CP067953.1	Klebsiella pneumoniae
CP067970.1	Klebsiella pneumoniae
CP067443.1	Klebsiella pneumoniae
NZ_CP091988.1	Klebsiella pneumoniae
CP090262.1	Escherichia coli
CP090201.1	Rhizobium leguminosarum
CP088552.1	Escherichia coli
CP054202.1	Bacteroides uniformis
CP073052.1	Citrobacter sp. MGH105
CP043240.1	Escherichia albertii
CP070852.1	Lactiplantibacillus plantarum
LR962707.1	Enterococcus faecalis
LR962430.1	Enterococcus faecalis
LR962106.1	Enterococcus faecalis
LR962073.1	Enterococcus faecalis
LR961936.1	Enterococcus faecalis
CP066275.1	Agrobacterium tumefaciens
LR890284.1	Klebsiella pneumoniae
CP049992.1	Staphylococcus aureus
AP022235.1	Enterobacter cloacae
AP022022.1	Klebsiella sp. WP3-S18-ESBL-05
CP040591.1	Furfurilactobacillus rossiae
CP052091.1	Ralstonia solanacearum
CP052354.1	Klebsiella pneumoniae
CP052353.1	Klebsiella pneumoniae
CP052290.1	Klebsiella pneumoniae
JQ319769.1	[Pasteurella] aerogenes
CP034254.1	Escherichia coli
CP030485.1	Staphylococcus aureus
CP027421.1	Staphylococcus cohnii
CP030160.1	Xanthomonas citri
MF554639.1	uncultured bacterium
KX863569.1	uncultured bacterium
LT904874.1	Salmonella enterica
CP018460.1	Klebsiella pneumoniae
CP003750.1	Bacillus cereus FRI-35
CP001777.1	Spirosoma linguale DSM 74
LN997845.1	Streptomyces reticuli
